#site     state_i   state_j   OP.real    OP.imag
0       0          0        1        0
0       0          1        2.8575e-13        -3.52734e-14
0       0          2        -1.61818e-06        6.62708e-09
0       0          3        1.31401e-07        1.97401e-09
0       0          4        -2.99328e-06        1.72097e-08
0       0          5        -2.93501e-07        -4.71632e-09
0       1          0        2.8575e-13        3.52734e-14
0       1          1        1        0
0       1          2        -6.18823e-08        -2.11591e-09
0       1          3        -9.35194e-07        -8.52679e-08
0       1          4        -1.163e-07        -4.27796e-09
0       1          5        2.07707e-06        1.87705e-07
0       2          0        -1.61818e-06        -6.62708e-09
0       2          1        -6.18823e-08        2.11591e-09
0       2          2        0.770834        0
0       2          3        1.14962e-07        1.292e-07
0       2          4        -0.418556        6.19689e-09
0       2          5        1.12063e-06        1.23295e-07
0       3          0        1.31401e-07        -1.97401e-09
0       3          1        -9.35194e-07        8.52679e-08
0       3          2        1.14962e-07        -1.292e-07
0       3          3        0.829755        0
0       3          4        1.16443e-06        -2.85698e-07
0       3          5        0.374331        3.50462e-09
0       4          0        -2.99328e-06        -1.72097e-08
0       4          1        -1.163e-07        4.27796e-09
0       4          2        -0.418556        -6.19689e-09
0       4          3        1.16443e-06        2.85698e-07
0       4          4        0.228632        0
0       4          5        -5.29787e-08        9.99689e-08
0       5          0        -2.93501e-07        4.71632e-09
0       5          1        2.07707e-06        -1.87705e-07
0       5          2        1.12063e-06        -1.23295e-07
0       5          3        0.374331        -3.50462e-09
0       5          4        -5.29787e-08        -9.99689e-08
0       5          5        0.170779        0
1       0          0        1        0
1       0          1        -1.33622e-13        7.29809e-13
1       0          2        1.14214e-06        -1.66379e-07
1       0          3        -2.5086e-07        -2.11061e-08
1       0          4        -2.51335e-06        3.63309e-07
1       0          5        -4.62128e-07        -3.95518e-08
1       1          0        -1.33622e-13        -7.29809e-13
1       1          1        1        0
1       1          2        3.01991e-07        4.22943e-08
1       1          3        1.67474e-06        -7.71641e-09
1       1          4        -6.64555e-07        -9.234e-08
1       1          5        3.06968e-06        -7.20884e-10
1       2          0        1.14214e-06        1.66379e-07
1       2          1        3.01991e-07        -4.22943e-08
1       2          2        0.827621        0
1       2          3        2.78246e-07        1.01981e-07
1       2          4        0.374692        8.9178e-10
1       2          5        2.18513e-06        3.02582e-07
1       3          0        -2.5086e-07        2.11061e-08
1       3          1        1.67474e-06        7.71641e-09
1       3          2        2.78246e-07        -1.01981e-07
1       3          3        0.767678        0
1       3          4        2.01081e-06        -1.98416e-07
1       3          5        -0.418851        -5.2976e-09
1       4          0        -2.51335e-06        -3.63309e-07
1       4          1        -6.64555e-07        9.234e-08
1       4          2        0.374692        -8.9178e-10
1       4          3        2.01081e-06        1.98416e-07
1       4          4        0.173451        0
1       4          5        -3.33337e-08        5.87267e-08
1       5          0        -4.62128e-07        3.95518e-08
1       5          1        3.06968e-06        7.20884e-10
1       5          2        2.18513e-06        -3.02582e-07
1       5          3        -0.418851        5.2976e-09
1       5          4        -3.33337e-08        -5.87267e-08
1       5          5        0.231249        0
2       0          0        1        0
2       0          1        8.06025e-15        -3.43146e-13
2       0          2        6.19894e-07        -3.7194e-09
2       0          3        2.55013e-07        1.57796e-08
2       0          4        1.1179e-06        9.85893e-10
2       0          5        -5.66579e-07        -3.50541e-08
2       1          0        8.06025e-15        3.43146e-13
2       1          1        1        0
2       1          2        -2.10585e-07        -1.02315e-08
2       1          3        3.84621e-07        -1.89891e-07
2       1          4        -3.89896e-07        -1.93167e-08
2       1          5        -8.38092e-07        4.1834e-07
2       2          0        6.19894e-07        3.7194e-09
2       2          1        -2.10585e-07        1.02315e-08
2       2          2        0.770834        0
2       2          3        2.81298e-07        -3.72e-08
2       2          4        -0.418556        5.43285e-09
2       2          5        2.3824e-06        -6.23394e-08
2       3          0        2.55013e-07        -1.57796e-08
2       3          1        3.84621e-07        1.89891e-07
2       3          2        2.81298e-07        3.72e-08
2       3          3        0.829755        0
2       3          4        2.52894e-06        1.09986e-07
2       3          5        0.374331        5.60356e-09
2       4          0        1.1179e-06        -9.85893e-10
2       4          1        -3.89896e-07        1.93167e-08
2       4          2        -0.418556        -5.43285e-09
2       4          3        2.52894e-06        -1.09986e-07
2       4          4        0.228632        0
2       4          5        -8.03085e-08        -1.92167e-08
2       5          0        -5.66579e-07        3.50541e-08
2       5          1        -8.38092e-07        -4.1834e-07
2       5          2        2.3824e-06        6.23394e-08
2       5          3        0.374331        -5.60356e-09
2       5          4        -8.03085e-08        1.92167e-08
2       5          5        0.170779        0
3       0          0        1        0
3       0          1        7.97528e-14        -4.22538e-13
3       0          2        5.41028e-08        -1.73589e-08
3       0          3        7.71226e-07        8.32673e-09
3       0          4        9.99707e-08        -3.20916e-08
3       0          5        -1.71599e-06        -1.85262e-08
3       1          0        7.97528e-14        4.22538e-13
3       1          1        1        0
3       1          2        -6.50935e-07        -8.12226e-09
3       1          3        1.86719e-08        -7.83499e-08
3       1          4        -1.20492e-06        -1.50356e-08
3       1          5        -4.15059e-08        1.74315e-07
3       2          0        5.41028e-08        1.73589e-08
3       2          1        -6.50935e-07        8.12226e-09
3       2          2        0.774072        0
3       2          3        1.40641e-07        1.34445e-08
3       2          4        -0.418188        3.38032e-09
3       2          5        8.58003e-07        -1.92564e-08
3       3          0        7.71226e-07        -8.32673e-09
3       3          1        1.86719e-08        7.83499e-08
3       3          2        1.40641e-07        -1.34445e-08
3       3          3        0.83194        0
3       3          4        9.70958e-07        -2.26013e-09
3       3          5        0.373917        2.62448e-09
3       4          0        9.99707e-08        3.20916e-08
3       4          1        -1.20492e-06        1.50356e-08
3       4          2        -0.418188        -3.38032e-09
3       4          3        9.70958e-07        2.26013e-09
3       4          4        0.225926        0
3       4          5        7.02567e-09        1.4706e-08
3       5          0        -1.71599e-06        1.85262e-08
3       5          1        -4.15059e-08        -1.74315e-07
3       5          2        8.58003e-07        1.92564e-08
3       5          3        0.373917        -2.62448e-09
3       5          4        7.02567e-09        -1.4706e-08
3       5          5        0.168063        0
4       0          0        1        0
4       0          1        -2.66758e-13        -1.25034e-12
4       0          2        -2.10196e-06        -2.11957e-08
4       0          3        -6.4787e-07        -4.89087e-08
4       0          4        -3.8904e-06        -3.92307e-08
4       0          5        1.44136e-06        1.08817e-07
4       1          0        -2.66758e-13        1.25034e-12
4       1          1        1        0
4       1          2        4.60102e-07        2.72719e-08
4       1          3        -1.19536e-06        1.73814e-07
